,user,collateral,debt,available_borrow,threshold,ltv,healthf,amount,ethdebt,collateral_steth_calc,diff_collateral,diff_debt
2,0x9600a48ed0f931d0c422d574e3275a90d8b22745,47847.61388639631,37887.22051631522,0,8300,7200,1.0482035626922612,47860.01680242652,37887.22051631522,47847.61388639631,0.0,0.0
4,0x7c07f7abe10ce8e33dc6c5ad68fe033085256a84,28833.787515791082,17834.753655243214,2925573356126363143906,8300,7200,1.3418768826712024,28841.2617243533,17834.753655243214,28833.787515791082,0.0,0.0
9,0xbcd420d13362532756c968f663f96ba95e240dd2,18825.487721484085,10268.559646392609,3285791513075933232521,8300,7200,1.5216500996146016,18830.367608368135,9701.863584813202,18825.487721484085,0.0,0.05518749280270186
10,0x94cb486eb43ba23159a7debac920b0fa7cb476fa,15856.601851145168,10465.00066112975,951752671694770537666,8300,7200,1.2576186053513059,15860.711941507687,9786.59032156676,15856.601640435249,1.3288466277476669e-08,0.06482659309165797
15,0x1da05bce1edd2369cddcb35e747859ef6a675010,11458.012728457952,5561.853938883949,2687915225605776830707,8300,7200,1.709888585554698,11460.982840407141,5561.853938883949,11458.012728457952,0.0,0.0
16,0xa2d8bf2f85abaca84615bd5e550fe39daf2ab353,11433.614811176149,8121.675488329618,110527175717209668481,8300,7200,1.1684658303465396,11436.578598769853,8121.675488329618,11433.61481117615,1.5909136643013613e-16,0.0
20,0x0c8a1460ea6c6a59ce0468e2dc34180a20b8f835,9821.824584264366,6870.838811966019,200874888704324171051,8300,7200,1.1864802286937628,9824.370568393717,6870.8387212123935,9821.824584264366,0.0,1.3208522050702531e-08
22,0x48d93dabf29aa5d86424a90ee60f419f1837649f,10203.114986455304,7172.9345196309205,83520858736092370681,8208,7112,1.1675440167427362,9847.162741888516,6694.879047816208,9844.610851170892,0.03513673380730582,0.06664712615267404
24,0x0279431a5e11d234dcf1d4493494db9f06ea42cd,8395.676276127075,5634.707729637512,410179189173981449492,8300,7200,1.2366943670446167,8397.852578337606,5634.707655211351,8395.676276127075,0.0,1.3208521928695892e-08
27,0x64a53b849072a4d778cec579396e279f299b0bec,5985.281314737368,3990.536518210718,318866028400187573565,8300,7200,1.2448911239282374,5986.832801541708,3990.5364655016283,5985.281314737369,1.51955213789786e-16,1.3208522073698604e-08
31,0x31bc74806e7d7ab8571d94b2dafa5d6734a6d1e9,5490.700029461534,3740.1349752755964,122023425447646476903,8139,7034,1.1948447806083382,5112.921647200443,3620.993623712789,5111.596634338014,0.06904463785844402,0.03185482672427571
32,0x9b10a954b7a14ae7e12e472036e545f8576b7531,4958.1411378295315,2788.5378917969865,781323727440276223628,8300,7200,1.4757759457041344,4959.42637241499,2788.5378917969865,4958.1411378295315,0.0,0.0
35,0x94269a09c5fcbd5e88f9df13741997bc11735a9c,8438.437218283743,5031.799601183886,1043875195980409857265,8300,7200,1.3919280270079961,8440.614414125224,5031.799601183886,8438.427030191491,1.2073434912794283e-06,0.0
40,0x29cc23660158f945942dac47a9db1c0177f31c77,4113.885628207482,952.3873426905185,2009610309618868637116,8300,7200,3.585227268735103,4114.952017393068,952.3873426905185,4113.885628207482,0.0,0.0
42,0x79c0230b1772ac789cb443e1a23cd725b31bad42,2882.3116456522307,2029.8640397219676,45400345147638513857,8300,7200,1.1785610361465537,2883.058789896431,2029.8640397219676,2882.3116456522307,0.0,0.0
49,0xc037af4cc87a7f736f3e05c5b8347576c8ebb79a,2589.034524633516,355.71266958193155,1508392188154200077373,8300,7200,6.041108004309813,2589.70560935974,355.71266958193155,2589.0344875473834,1.4324309786631167e-08,0.0
51,0x7bdff8af765637783a3e012012f147a6930dd7e8,2584.9706575670734,1853.6205916592626,7558281789030215877,8299,7200,1.1573388633941453,2562.6906848848935,1853.6205916592626,2562.0265639860804,0.008875959003181711,0.0
57,0x2b1f4a047c9771c80284be3c2e063f5586018490,2058.9426799773223,1019.0559757901278,463382753793544089869,8300,7200,1.6769661971278464,2059.4763929693936,1019.0559757901278,2058.9426799773223,0.0,0.0
61,0x4a2b6651f8536275b47fc424d8c62667e11ade8c,1899.191983632788,207.80926618008576,1159608962035521576812,8300,7200,7.58546226254021,1899.6842865249275,207.80926618008576,1899.191983632788,0.0,0.0
65,0xd19e46692b687ff54c941cd0e0e2883259c7e01e,1722.6026171296573,1263.5410254080175,0,8307,7213,1.1325045766420798,1693.651136254762,1263.5410254080175,1693.212226821985,0.01706161944456174,0.0
66,0x74b8c7680502931c33d9446e26592b8318eb7248,1691.3774553233977,1212.435127390959,5356640441887314397,8300,7200,1.1578708470277932,1691.8158891521687,1212.435127390959,1691.3774553233977,0.0,0.0
68,0x5ec68a1a5a742b24c7b20ff19e375361a1ca279b,1849.872354192654,1281.5346530039928,4681594866159648983,8051,6953,1.162147452563552,1664.1941589927799,1239.4398907453196,1663.7628833311526,0.10060665561042229,0.0328471509997803
69,0x6621295a7fadd3ab78ae6915502bd50fdd5a1491,1578.4086669234769,1218.394303027816,0,8300,7200,1.0752505902980873,1578.8178173192246,1218.394303027816,1578.4086669234766,1.4405247526067683e-16,0.0
95,0x12df0c95d2c549bbbc96cf8fba02ca4bc541afd9,1018.4431457597278,689.8169143744992,43462150572504802384,8300,7200,1.2254089358581013,1018.7071435600861,689.8169143744992,1018.4431457597278,0.0,0.0
104,0x6949a8837eff81e7fe03cc754f72884bb9bf0bed,776.5507114064443,459.48066807129305,99635844141346827685,8300,7200,1.4027512695427315,776.7520065700786,459.48067414035364,776.5507114064443,0.0,1.3208522166282055e-08
109,0x4c6c8f0be51c5a9570560c89e8222bd464db4eb1,718.1477926350497,515.3035468798724,1762863817363342042,8300,7200,1.156721453784298,718.3339487679444,515.3035536862708,718.1477926350497,0.0,1.3208522214688798e-08
112,0x438857166f250b92541b2695ff1d787a6850d2d3,701.5914744919512,430.05984125094534,75086020383259505976,8300,7200,1.3540462697806928,701.7733389453448,430.05984125094534,701.5914744919512,0.0,0.0
114,0x9ca173d2e4b4246b8cc9d7ee331678e638c386b4,689.7004770066897,470.9412065218615,25643136922955091395,8300,7200,1.2155474780883901,689.8792591111144,470.9412065218615,689.7004770066897,0.0,0.0
115,0x8e62f29678bd7756737b25fceb7fbc9af2315541,717.1678186701647,418.4111630072283,96873914707284989620,8300,7185,1.422641989802632,665.2475237681839,418.4093003706517,665.0751249742038,0.07263668605843984,4.451689489426785e-06
127,0xfbf3fee8a50886498ff14ca42044f2374759a265,527.5229442292988,348.13105267948964,31685467165605511886,8300,7200,1.2576989048817302,527.6596871564763,348.13105267948964,527.5229442292987,2.1551069762038574e-16,0.0
